HS CODE	DESCRIPTION  / KEYWORD
150890	Ground nut oil
150890	Safflower oil
151610	Animal fat
151610	Canola oil
151610	Vegetable oil
160100	Cold cuts
160100	Cold cuts
160100	Hot dog
160100	Preserved meat
160239	Duck
160239	Guinea fowl
160239	Guinea fowl
160239	Luncheon meat
160300	Caviar
160300	Clam
160300	Fish eggs
160300	Oysters
160300	Sardine
160416	Anchovies
160416	Prawn
170220	Maltose
170220	Maple syrup
170410	Almond butter
170410	Gum
170410	Liquorice candy
170410	Marshmallow
170410	Toffee
180400	Cocoa paste
180500	Chocolate
180500	Chocolate coated nuts
180500	Hot chocolate
190110	Infant formula
190211	Pasta
190220	Noodles
190220	Pasta
190410	Breakfast cereal
190410	Breakfast cereal
190531	Biscuits
190531	Croutons
190531	Pizza
190531	Quiche
190531	Tortilla
200190	Bamboo shoots
200190	Bamboo shoots
200190	Cactus leaves
200190	Cactus leaves
200190	Chickpeas
200190	Cilantro
200190	Nut
200190	Peas
200190	Relish
200190	Tamarillos
200190	Tomatillos
200310	Broccoli
200710	Fruit jellies
200710	Fruit jelly
200819	Ground nut
200819	Ground seed
200819	Macadamia butter
200819	Pignolia nuts butter
210111	Roasted chicory
210230	Baking powder
210230	Inactive yeast
210310	Catsup
210310	Chili sauce
210310	Salad dressing
210310	Soya sauce
210310	Soya sauce
210410	Soup
210500	Ice cream
210500	Ice cream
210610	Protein
210610	Protein shake
210610	Protein shake
210690	Flavor concentrate
210690	Flavor syrup
210690	Fondue cheese
210690	Food concentrate
210690	Fruit syrups
210690	Fruit syrups
210690	Grocery
210690	Liquid flavor
210690	Nicotine gum
210690	Popcorn
220110	Mineral water
220110	Natural water
220210	Chocolate milk
220210	Cola
220210	Mineral water
220210	Pop
220210	Soy beverage
220290	Non alcoholic wine
220300	Beer
220410	Sparkling wine
220429	Port
230990	Cat treat
230990	Cat treat
230990	Dog biscuits
230990	Dog chews
240319	Shish tob
240319	Shisha
240319	Shisha tobacco
240391	Leaf tobacco
250100	Aluminum calcium phosphates
250100	Anhydrite
250100	Animal litter
250100	Barium carbonate
250100	Crushed stone
250100	Diatomite
250100	Dinas earth
250100	Dolomite
250100	Feldspar
250100	Fire clay
250100	Hydraulic lime
250100	Hydraulic lime
250100	Kaolinic clays
250100	Limestone granules
250100	Magnesite
250100	Natural abrasives
250100	Natural garnet
250100	Natural garnet
250100	Natural magnesium sulphates
250100	Perlite
250100	Phosphatic chalk
250100	Pumice stone
250100	Quartz sands
250100	Salt
250100	Silica sand
250100	Siliceous fossil meals
250100	Sintered magnesia
250100	Slag cement
250100	Slaked lime
250100	Unroasted iron pyrites
250100	Witherite
260111	Manganese
260111	Tin
260111	Titanium
261800	Dross
261800	Granulated slag
261800	Granulated slag
261800	Slag sand
270900	Diesel oil
270900	Diesel oil
270900	Paraffin wax
270900	Petroleum oil
270900	Petroleum oil
271112	Propane
271210	Petroleum jelly
280300	Alkaline earth metals
280300	Arsenic
280300	Boric acids
160100	Hot dog
160100	Luncheon meat
160100	Prepared meat
160300	Fish eggs
170220	Fructose
170410	Almond butter
170410	Bubble gum
170410	Caramel
180400	Cocoa butter
180400	Cocoa oil
180500	Chocolate coated nuts
180500	Chocolate coated nuts
180500	Cocoa
180500	Cocoa powder
180500	Confectionery
190211	Ravioli
190211	Spaghetti
190220	Ravioli
190220	Spaghetti
190300	Tapioca
190531	Corn chips
190531	Pastry
190531	Pies
190531	Wafers
200110	Cucumber
200190	Artichoke
200190	Malanga
200190	Nopales
200190	Olive
200190	Vegetable
200490	Asparagus
200710	Fruit jellies
200710	Fruit pur e
200819	Ground nut
200819	Ground seed
200819	Pecan butter
200819	Pecan butter
200819	Pignolia nuts butter
200819	Pignolia nuts butter
210111	Coffee essence
210111	Coffee extract
210111	Coffee extract
210111	Roasted chicory
210310	Ketchup
210310	Mustard
210310	Salad dressing
210310	Tomato ketchup
210410	Broth
210610	Protein concentrates
210610	TVP
210690	Flavor
